P_NAME,P_DETECTION,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_NAME,S_TYPE,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION
HAT-P-25 b,9,0.47814604156750756,1,0.7128712871287128,0.03770167747018992,0.0876263842079923,0.1464968152866242,HAT-P-25,95,0.5338423881232375,0.7000000000000002,0.54,0.3309859154929578,0.8805555555555555,0.20408163265306123,0.6118966357874208,0.6551724137931032,0.6787086902500786,0.47931252148177056,0.41876168720824475,0.06034575527204162,0.1709498929565718,0.08508441173880704,0.0858470221827503,0.08763379477740774,0.5001172173931823,0.8085660363228855,0.0,0,0.19999999999999996,31344.51,+25 11 50.48,0.15241910546447202,0.3374698431111175,0.23486642764232302,0.557258609505365,0.0,0.0,2.0,0,Aries
TOI-892 b,9,0.7983460257020466,1,0.6709647708956942,0.11666072791517283,0.19691863264323545,0.7961783439490446,TOI-892,22,0.41970414516043214,0.975836431226766,0.81,0.6619718309859155,0.8055555555555556,0.1360544217687075,0.8961482203803023,0.35632183908045967,0.918684466277021,0.8503760541057752,0.854953074295159,0.1403644716393507,0.3479489191658678,0.16926914991078612,0.2138073431651652,0.19735342510691792,0.4949545273835121,0.8030713831551382,0.0,0,0.0,54657.17,-111407.22,0.6088724788908458,0.7598860725682439,0.9310383901735757,0.5823449769198396,0.0,0.0,2.0,0,Lepus
WASP-156 b,9,0.10752086308107252,1,0.30963619617775723,0.0397776710786433,0.0844968704862783,0.0445859872611465,WASP-156,178,0.4282844676209227,0.47360594795539046,0.37,0.21830985915492956,0.8055555555555556,0.42176870748299317,0.47391516333495853,0.7471264367816088,0.46651369994423414,0.2389400035371546,0.47535286158674683,0.17958696225515303,0.10284650345150628,0.08377175589252003,0.0811375729882112,0.0844975284978096,0.27539583493360525,0.6685942481546461,0.0,2,0.3999999999999999,21107.7,+02 25 05.50,0.07514429158852445,0.21468186296561625,0.07252604239416371,0.6409583050142597,0.0,0.0,2.0,0,Cetus
WASP-183 b,9,0.4218379078745571,1,0.9290237163251209,0.04289819730708993,0.08695233509870005,0.0,WASP-183,130,0.5295189698291918,0.6234200743494425,0.31000000000000005,0.29577464788732394,0.04166666666666674,1.0,0.5841053144807411,0.5747126436781613,0.5519917765094947,0.3258644941810502,0.18336812998357582,0.012459918807753725,0.18293906881113461,0.08699044676372922,0.082748646059142,0.08695232630671473,0.4437111656535098,0.7788631145349277,0.0,0,0.19999999999999996,105509.32,-4413.44,0.13256815778536582,0.3094217689924351,0.14856863756543365,0.8367299516165513,0.0,0.0,2.0,0,Leo
XO-1 b,9,0.6974956369982548,1,0.7160948653004836,0.04097060323105597,0.0929224843524314,0.0,XO-1,69,0.4077981163199064,0.7858736059479554,0.41000000000000003,0.3028169014084507,0.5,0.04761904761904761,0.644076060458313,0.6436781609195403,0.827524595222848,0.6970149843796665,0.6401987257582226,0.09579032040862534,0.22239917719419033,0.09296034681652914,0.08843289874929482,0.09292247561793428,0.5307996231145948,0.8238327297699051,0.0,0,0.19999999999999996,160211.83,+28 10 10.65,0.17890755081678503,0.3723315281250311,0.33677458013782,0.2155604923067055,0.0,0.0,2.0,0,Corona Borealis
HD 191939 c,9,0.02110106298587974,1,0.1644600506562284,0.31993261446568455,0.3972075108329321,0.21656050955414016,HD 191939,134,0.25607939126270424,0.6364312267657994,0.3400000000000001,0.3450704225352112,0.26388888888888895,0.5782312925170067,0.5948317893710385,0.40229885057471204,0.25768709514946,0.08277732680329347,0.2704776242429284,0.20489425398525304,0.24924255296980477,0.3828933573162835,0.3917996311928501,0.39726848240027424,0.031877874809381486,0.30764996258316746,0.0,2,0.19999999999999996,200806.15,+66 51 01.09,0.13992283857310217,0.32002978525509085,0.1603427626857895,0.7042590043594322,0.0,0.0,2.0,0,Draco
WASP-47 d,9,0.03749537257390661,1,0.18587381994013355,0.09859017387172091,0.18006740491092926,0.06369426751592357,WASP-47,60,0.4533602937263876,0.7122676579925651,0.5700000000000001,0.48591549295774644,1.0,0.4285714285714285,0.7016089712335446,0.4482758620689653,0.33713225077020803,0.13278839474320986,0.41817405488876047,0.26694442547051084,0.13016384099990527,0.17805549474656018,0.17335288349532768,0.18006995599489606,0.22912055437679774,0.6294787233762512,0.0,2,0.19999999999999996,220448.74,-120108.64,0.23756345977780519,0.4416607033162204,0.2515223266773955,0.7626693061241644,0.0,0.0,2.0,0,Aquarius
HAT-P-29 b,9,0.7395166322915014,1,0.735493898227032,0.06114314808795318,0.13601348098218585,0.5732484076433121,HAT-P-29,45,0.4459772255627095,0.9111524163568774,0.98,0.5985915492957747,0.7638888888888888,0.1360544217687075,0.8186250609458801,0.4482758620689653,0.8418328202910844,0.7200806825085376,0.6448324130219286,0.09353758584490637,0.2401157555265712,0.12159901654562616,0.14321946812539266,0.13617648181200273,0.6507428209380347,0.8758275270957157,0.0,0,0.0,21231.46,+51 46 43.59,0.4194573664975938,0.6153575837939224,0.7180605564567576,0.6473278154228671,0.0,0.0,2.0,0,Perseus
EPIC 211945201 b,9,0.07134168914273627,1,0.3121114437025097,0.2170405547679679,0.3348579682233991,0.0,EPIC 211945201,58,0.3348321183419359,0.904460966542751,0.7,0.6619718309859155,0.6111111111111112,0.25782312925170064,0.8678693320331545,0.3103448275862064,0.3698135664382469,0.15671217675587312,0.2838563096548128,0.10941825648444684,0.29477895960483913,0.3348857320207192,0.3187826549429872,0.3348579618185648,0.1626001674900133,0.561270024619145,0.0,2,0.19999999999999996,90617.81,+19 24 07.40,0.5316319199792892,0.7040764768765851,0.6474071454610445,0.6921592365159271,0.0,0.0,2.0,0,Cancer
Kepler-396 c,9,0.04727907345708393,1,0.2856320515772507,0.9984262299106034,0.8854116514203179,0.0,Kepler-396,60,0.4748443569414144,0.717100371747212,0.38,0.42957746478873243,0.6888888888888889,0.28367346938775506,0.6201852754753778,0.42528735632183956,0.30683048216451275,0.11235164126870165,0.20539069438915347,0.09009273632438333,0.749650103653756,0.8854164344704534,0.8429716026195789,0.8854116503169152,0.007086884309303787,0.15486527350063786,0.0,2,0.19999999999999996,194431.88,+48 58 38.31,0.1588618557523738,0.34619765540478287,0.240144251106864,0.5489172136464663,0.0,0.0,2.0,0,Cygnus
